Frame, Time (ms)
    1,     0.000
    2,    14.561
    3,    31.222
    4,    47.977
    5,    64.735
    6,    81.481
    7,    98.235
    8,   114.993
    9,   131.818
   10,   148.842
   11,   165.231
   12,   181.994
   13,   198.735
   14,   215.487
   15,   232.232
   16,   248.983
   17,   265.733
   18,   282.483
   19,   299.240
   20,   316.003
   21,   332.740
   22,   349.487
   23,   366.237
   24,   382.991
   25,   400.168
   26,   416.561
   27,   437.425
   28,   450.270
   29,   467.021
   30,   483.860
   31,   507.832
   32,   517.037
   33,   534.098
   34,   551.497
   35,   567.306
   36,   584.073
   37,   600.799
   38,   617.578
   39,   634.318
   40,   651.426
   41,   667.786
   42,   684.573
   43,   701.250
   44,   718.021
   45,   734.769
   46,   751.528
   47,   768.266
   48,   785.006
   49,   801.756
   50,   818.517
   51,   835.262
   52,   852.146
   53,   868.771
   54,   885.517
   55,   902.521
   56,   919.020
   57,   935.764
   58,   952.533
   59,   969.414
   60,   986.025
   61,  1002.891
   62,  1019.531
   63,  1036.269
   64,  1053.017
   65,  1069.785
   66,  1086.521
   67,  1103.434
   68,  1120.017
   69,  1136.771
   70,  1154.048
   71,  1170.283
   72,  1187.049
   73,  1203.778
   74,  1220.525
   75,  1237.272
   76,  1254.036
   77,  1270.774
   78,  1287.542
   79,  1304.282
   80,  1321.034
   81,  1337.779
   82,  1354.526
   83,  1371.279
   84,  1388.045
   85,  1405.058
   86,  1421.681
   87,  1438.283
   88,  1455.060
   89,  1471.820
   90,  1488.543
   91,  1505.293
   92,  1522.212
   93,  1538.791
   94,  1555.548
   95,  1572.296
   96,  1589.039
   97,  1605.797
   98,  1622.547
   99,  1639.305
  100,  1665.101
  101,  1672.941
  102,  1691.271
  103,  1706.547
  104,  1733.364
  105,  1739.839
  106,  1756.691
  107,  1773.653
  108,  1790.380
  109,  1806.848
  110,  1823.637
  111,  1841.378
  112,  1857.584
