Frame, Time (ms)
    1,     0.000
    2,    14.740
    3,    31.293
    4,    47.995
    5,    64.731
    6,    81.471
    7,    98.226
    8,   114.972
    9,   131.731
   10,   148.478
   11,   165.314
   12,   182.003
   13,   198.727
   14,   215.479
   15,   232.228
   16,   248.986
   17,   265.732
   18,   282.480
   19,   299.235
   20,   315.985
   21,   332.733
   22,   349.492
   23,   366.239
   24,   382.984
   25,   399.740
   26,   416.486
   27,   433.238
   28,   449.996
   29,   466.742
   30,   483.507
   31,   500.247
   32,   516.993
   33,   533.741
   34,   550.508
   35,   567.250
   36,   583.993
   37,   600.748
   38,   617.498
   39,   634.246
   40,   650.998
   41,   667.748
   42,   684.503
   43,   701.253
   44,   718.004
   45,   734.751
   46,   751.509
   47,   768.254
   48,   785.005
   49,   801.757
   50,   818.513
   51,   835.273
   52,   852.053
   53,   868.826
   54,   885.623
   55,   902.347
   56,   920.872
   57,   935.801
   58,   952.633
   59,   969.379
   60,   986.074
   61,  1004.781
   62,  1020.200
   63,  1036.400
   64,  1053.140
   65,  1069.823
   66,  1086.519
   67,  1103.270
   68,  1120.027
   69,  1136.770
   70,  1153.532
   71,  1170.634
   72,  1187.026
   73,  1203.780
   74,  1220.526
   75,  1237.276
   76,  1254.025
   77,  1270.774
   78,  1287.523
   79,  1304.277
   80,  1321.026
   81,  1337.782
   82,  1354.533
   83,  1371.279
   84,  1388.029
   85,  1404.780
   86,  1421.531
   87,  1438.282
   88,  1455.038
   89,  1471.800
   90,  1488.536
   91,  1505.289
   92,  1522.154
   93,  1538.797
   94,  1555.548
   95,  1572.291
   96,  1589.473
   97,  1605.790
   98,  1622.574
   99,  1639.291
  100,  1656.047
  101,  1672.795
  102,  1689.543
  103,  1706.295
  104,  1723.051
  105,  1739.870
  106,  1756.940
  107,  1773.303
  108,  1790.050
  109,  1806.802
  110,  1823.551
  111,  1840.300
  112,  1857.062
  113,  1873.803
  114,  1890.555
  115,  1907.311
  116,  1924.059
  117,  1940.805
  118,  1957.564
  119,  1974.306
  120,  1991.090
  121,  2008.393
  122,  2024.560
  123,  2041.309
  124,  2058.541
  125,  2074.850
  126,  2091.589
  127,  2108.411
  128,  2125.117
  129,  2142.530
  130,  2158.860
  131,  2175.448
  132,  2192.160
  133,  2208.869
  134,  2225.598
  135,  2242.348
  136,  2259.178
  137,  2275.905
  138,  2292.629
  139,  2309.335
  140,  2326.074
  141,  2342.824
  142,  2359.577
  143,  2376.326
  144,  2393.077
  145,  2409.828
  146,  2427.411
  147,  2443.341
  148,  2460.083
  149,  2476.839
  150,  2493.581
  151,  2510.332
  152,  2527.081
  153,  2543.836
  154,  2560.640
  155,  2577.729
  156,  2594.083
  157,  2610.838
  158,  2627.586
  159,  2644.337
  160,  2661.174
  161,  2677.838
  162,  2694.587
  163,  2711.339
  164,  2728.104
  165,  2744.842
  166,  2761.593
  167,  2778.344
  168,  2795.095
  169,  2811.845
  170,  2828.594
  171,  2845.345
  172,  2862.100
  173,  2878.849
  174,  2895.597
  175,  2912.356
  176,  2929.103
  177,  2945.850
