Frame, Time (ms)
    1,     0.000
    2,    13.219
    3,    29.984
    4,    46.642
    5,    63.379
    6,    80.140
    7,    96.887
    8,   113.773
    9,   130.391
   10,   147.156
   11,   163.894
   12,   180.908
   13,   197.389
   14,   214.142
   15,   231.387
   16,   247.703
   17,   264.514
   18,   281.249
   19,   297.965
   20,   314.692
   21,   331.445
   22,   348.280
   23,   365.016
   24,   385.502
   25,   399.114
   26,   415.205
   27,   432.244
   28,   448.704
   29,   465.477
   30,   482.173
   31,   498.903
   32,   515.651
   33,   532.407
   34,   549.169
   35,   565.916
   36,   582.663
   37,   599.551
   38,   616.160
   39,   632.997
   40,   649.671
   41,   666.659
   42,   683.573
   43,   699.911
   44,   716.769
   45,   733.448
   46,   750.304
   47,   766.918
   48,   783.824
   49,   801.796
   50,   817.317
   51,   833.923
   52,   850.794
   53,   867.425
   54,   884.290
   55,   900.929
   56,   917.770
   57,   934.725
   58,   951.182
   59,   968.061
   60,   984.687
   61,  1001.561
   62,  1018.188
   63,  1035.025
   64,  1051.767
   65,  1068.426
   66,  1085.271
   67,  1101.934
   68,  1118.777
   69,  1135.429
   70,  1152.298
   71,  1168.931
   72,  1186.016
   73,  1202.520
   74,  1219.189
   75,  1236.024
   76,  1252.689
   77,  1269.523
   78,  1286.192
   79,  1303.433
   80,  1319.706
   81,  1336.561
   82,  1353.321
   83,  1369.943
   84,  1386.810
   85,  1403.447
   86,  1420.257
   87,  1437.182
   88,  1453.709
   89,  1470.486
   90,  1487.251
   91,  1503.995
   92,  1520.787
   93,  1537.494
   94,  1554.296
   95,  1571.073
   96,  1587.860
   97,  1604.593
   98,  1638.460
   99,  1651.717
  100,  1669.344
  101,  1685.392
  102,  1702.646
  103,  1719.479
  104,  1736.557
  105,  1753.634
  106,  1770.725
  107,  1787.827
  108,  1804.903
  109,  1822.027
  110,  1839.160
  111,  1856.299
  112,  1873.417
  113,  1890.538
  114,  1907.662
  115,  1924.796
  116,  1941.933
  117,  1959.290
  118,  1976.188
  119,  1993.319
  120,  2010.499
  121,  2027.587
  122,  2044.714
  123,  2061.850
  124,  2078.982
  125,  2096.116
  126,  2113.229
  127,  2130.363
  128,  2147.496
  129,  2164.758
  130,  2181.756
  131,  2198.888
  132,  2216.240
  133,  2233.141
  134,  2250.277
  135,  2267.414
  136,  2284.542
  137,  2301.681
  138,  2318.811
  139,  2335.944
  140,  2353.075
  141,  2370.198
  142,  2387.329
  143,  2404.893
  144,  2421.574
  145,  2438.605
  146,  2455.693
  147,  2472.984
  148,  2489.776
  149,  2506.841
  150,  2523.930
  151,  2541.016
  152,  2558.125
  153,  2575.217
  154,  2592.348
  155,  2609.460
  156,  2626.646
  157,  2643.729
  158,  2660.866
  159,  2677.969
  160,  2694.858
  161,  2711.899
  162,  2729.137
  163,  2745.708
  164,  2762.648
  165,  2779.459
  166,  2796.431
  167,  2813.392
  168,  2830.516
  169,  2847.183
  170,  2873.773
  171,  2880.642
  172,  2897.345
  173,  2914.082
  174,  2930.727
  175,  2947.462
  176,  2964.230
  177,  2981.340
  178,  2997.726
  179,  3014.460
  180,  3031.222
  181,  3047.965
  182,  3064.710
  183,  3081.472
  184,  3098.218
  185,  3114.960
  186,  3131.714
  187,  3148.455
  188,  3165.205
  189,  3181.946
  190,  3198.705
  191,  3215.443
  192,  3232.440
  193,  3248.941
  194,  3265.695
  195,  3282.436
  196,  3299.190
  197,  3315.936
  198,  3332.678
  199,  3349.446
  200,  3366.177
  201,  3382.923
  202,  3399.679
  203,  3416.417
  204,  3433.162
  205,  3449.914
  206,  3466.667
  207,  3484.037
  208,  3500.157
  209,  3516.899
  210,  3533.647
  211,  3550.460
  212,  3567.164
  213,  3583.881
  214,  3600.633
  215,  3617.381
  216,  3634.116
  217,  3650.870
  218,  3667.644
  219,  3684.337
  220,  3701.053
  221,  3717.795
  222,  3734.793
  223,  3751.254
  224,  3768.008
  225,  3784.742
  226,  3801.487
  227,  3818.218
  228,  3834.962
  229,  3851.702
  230,  3868.446
  231,  3885.179
  232,  3901.923
  233,  3918.686
  234,  3935.428
  235,  3952.214
  236,  3968.894
  237,  3986.027
  238,  4002.861
  239,  4023.271
