Frame, Time (ms)
    1,     0.000
    2,    14.966
    3,    31.717
    4,    48.496
    5,    65.258
    6,    81.999
    7,    98.824
    8,   115.508
    9,   132.328
   10,   149.059
   11,   165.808
   12,   182.559
   13,   199.443
   14,   216.035
   15,   232.765
   16,   249.788
   17,   266.305
   18,   283.071
   19,   299.836
   20,   316.585
   21,   333.290
   22,   350.094
   23,   366.862
   24,   383.531
   25,   400.298
   26,   417.016
   27,   433.758
   28,   450.587
   29,   467.375
   30,   484.153
   31,   500.853
   32,   517.536
   33,   534.282
   34,   551.360
   35,   567.783
   36,   584.536
   37,   601.262
   38,   619.359
   39,   634.807
   40,   652.041
   41,   668.308
   42,   685.077
   43,   701.867
   44,   718.594
   45,   735.325
   46,   752.043
   47,   768.771
   48,   785.494
   49,   802.243
   50,   819.026
   51,   836.081
   52,   852.481
   53,   869.210
   54,   886.004
   55,   902.706
   56,   919.455
   57,   936.232
   58,   952.963
   59,   969.708
   60,   986.599
   61,  1003.218
   62,  1019.960
   63,  1036.762
   64,  1053.866
   65,  1070.260
   66,  1087.009
   67,  1103.758
   68,  1120.507
   69,  1137.268
   70,  1154.013
   71,  1170.763
   72,  1187.520
   73,  1204.262
   74,  1221.135
   75,  1237.924
   76,  1254.527
   77,  1271.266
   78,  1288.020
   79,  1304.776
   80,  1321.524
   81,  1338.275
   82,  1355.045
   83,  1371.799
   84,  1388.547
   85,  1405.298
   86,  1422.045
   87,  1438.767
   88,  1455.481
   89,  1472.221
   90,  1488.974
   91,  1505.729
   92,  1522.472
   93,  1539.224
   94,  1555.973
   95,  1572.759
   96,  1589.480
   97,  1606.226
   98,  1622.988
   99,  1639.732
  100,  1656.476
  101,  1673.227
  102,  1689.979
  103,  1706.735
  104,  1723.480
  105,  1740.264
  106,  1756.984
  107,  1773.732
  108,  1790.489
  109,  1807.238
  110,  1823.985
  111,  1840.734
  112,  1857.485
  113,  1874.247
  114,  1891.139
  115,  1907.825
  116,  1924.571
  117,  1941.384
  118,  1959.572
  119,  1974.775
  120,  1991.592
  121,  2008.435
  122,  2025.041
  123,  2041.787
  124,  2058.553
  125,  2075.419
  126,  2092.947
  127,  2108.761
  128,  2125.589
  129,  2142.256
  130,  2159.002
  131,  2175.751
  132,  2192.511
  133,  2209.257
  134,  2226.129
  135,  2242.758
  136,  2259.504
  137,  2276.253
  138,  2293.124
  139,  2309.755
  140,  2326.774
  141,  2343.262
  142,  2360.025
  143,  2376.763
  144,  2393.525
  145,  2410.260
  146,  2427.148
  147,  2443.797
  148,  2460.513
  149,  2477.356
  150,  2494.015
  151,  2510.776
  152,  2527.515
  153,  2544.269
  154,  2561.020
  155,  2577.776
  156,  2594.523
  157,  2611.269
  158,  2628.148
  159,  2644.790
  160,  2661.542
  161,  2678.271
  162,  2695.030
  163,  2711.774
  164,  2728.525
  165,  2745.281
  166,  2762.026
  167,  2778.779
  168,  2795.538
